latitude,longitude,stake_weight,uuid,GDI,country
36.2098,-86.3024,1,cdb65190-e1a2-4d80-8c71-d01505a2b843,2390026.9807123756,United States
36.2178,-85.5423,1,d080ccd4-eda3-4694-9494-f053807f7aec,2380517.0464977296,United States
36.3493,126.5977,1,41230211-a128-42b1-83a9-992baf66ef3a,3714204.071274122,South Korea
36.4153,128.1606,1,751ce8a6-1b2f-4689-adf4-f9afd1bf8af1,3637587.332071618,South Korea
36.4703,-86.6514,1,8edf2864-c902-4a4b-8012-0305a4bbf8f6,2372138.8982116794,United States
36.5298,-87.3594,1,542b793c-0c29-4752-9112-05c3af90842b,2372865.274491703,United States
36.7836,127.0042,1,80c20685-2e36-4b9d-ab88-2a8d38f0f220,3679391.2366250777,South Korea
36.8028,2.9219,1,e88cbfe6-9945-4e99-9769-db814cde8327,1784582.9999519477,Algeria
36.8468,-76.2852,7,a5e36de3-4423-43c7-a929-1b04d78f0943,2302212.2835817705,United States
36.8529,-75.978,2,d87e8ec5-ac03-40b3-a725-52d578dfb21b,2302661.743122817,United States
37.0465,-94.5103,1,b1aba5d1-790d-4946-acb0-102b75cb0a84,2393558.696868307,United States
37.102,-8.6742,1,31c97d3b-58b5-4803-9840-e48278382ac6,1885083.6411942337,Portugal
37.1925,127.2788,2,f565a724-79ed-4876-93ec-a49984664c92,3652736.893496189,South Korea
37.2568,-121.8896,56,44d0b784-db3b-4a1f-a10f-14dbfd174d35,2796671.0202669925,United States
37.3236,126.8219,51,c2805a1f-57f5-4526-9054-1879603512f7,3677438.6591580817,South Korea
37.41,127.2572,3,a6946da4-08f6-472f-a36d-8393aba673c7,3645535.8908310994,South Korea
37.506,-77.6492,2,133c5c79-9bf1-4ec5-9132-ee8fe17fe428,2268362.0658488288,United States
37.563,-122.3255,8,05693994-ceb0-45b7-97d0-5e011aae5286,2801083.5662043,United States
37.566,126.9784,22,d8903b1a-05b7-405f-864a-6d951759189f,3654191.6461512772,South Korea
37.6391,-120.9969,1,69e46727-ff79-4acd-9994-7df6445b128c,2767446.562803525,United States
37.6624,-121.8747,3,eaba72d1-9d59-4aa5-895f-1b1de735a5cb,2765908.6910834364,United States
37.669,-97.2802,5,3b6c31c7-0d6a-47e5-af4f-7286f962bb6c,2445702.3420260083,United States
37.6773,31.7246,1,2e3cba84-00ad-4aa6-9894-e751a9f3e781,2074865.3026941242,Turkey
37.7749,-122.4194,37,122fa397-06f4-4d4f-ade3-9890cb3a1945,2797869.5947118886,United States
37.784,-79.4428,1,9f49923a-8c2b-49ef-96df-48aa4c8c2852,2257133.3943670318,United States
37.8216,-122.0,7,be9e64a9-6f52-4669-8e34-b42fab609e8d,2774359.0136443824,United States
37.9315,23.7678,4,b09a7e5e-d7b4-4180-be12-22a4e26b84e0,1869400.7836137558,Greece
37.9748,-87.5559,1,431e289f-bbd5-400f-9f63-d1e2465ed9b4,2315706.3802685733,United States
38.0049,-121.8058,1,fe27b56c-0872-48c7-93a6-348f30772f2d,2744994.0239695557,United States
38.0293,-78.4767,1,0883f035-281b-4c18-8a79-d313d0e4432d,2248217.409198291,United States
38.0864,-92.4869,1,d1849a52-5691-40c7-9b9d-4ad486986fa9,2312622.3083468047,United States
38.1313,-85.5754,2,5a0e4c65-7e23-4164-b632-c0afa9eee979,2286019.3112859656,United States
38.1917,-0.5658,3,c3250928-9544-4c40-9a8c-0c22ecd44faa,1821631.8040466805,Spain
38.207,128.5918,1,5b42e81b-d9b0-4cea-9baf-d611a556b8f6,3571199.0446543586,South Korea
38.2324,-122.6367,2,6ebae7e6-9eaf-4f50-8828-b2448be8d4b2,2791782.7365498208,United States
38.2383,-122.0402,2,73aaeda2-fc70-4454-a0c1-550d7af783d0,2745765.0917187957,United States
38.2444,21.7344,1,99044db1-6bcd-4597-a04e-4a28f0089b01,2004961.8031797304,Greece
38.2544,-104.6091,1,9929dca2-69f3-4cd7-b474-aad4b884b2af,2515421.5362247075,United States
38.4088,-121.3716,1,8669f85b-5bf9-4737-ba30-60612feab2fe,2729956.4359707995,United States
38.4262,27.4173,1,aa13080a-34af-4f4e-b9c1-52553dc6d1d5,1854540.458898006,Turkey
38.4701,-90.3046,7,af63c91c-61b3-498a-917f-95a474eacfbf,2280049.2212402048,United States
38.5458,-106.9253,1,d503ee2e-865c-49a5-b522-865277a033a0,2482733.4709261046,United States
38.569,-8.9013,2,252f83c1-e0ae-49cc-81f1-76d34961aaa6,1817199.3143177421,Portugal
38.5804,-121.4922,5,f658f8ba-bcdc-4d0d-84bd-ea2b162bc921,2701856.970848672,United States
