latitude,longitude,stake_weight,uuid,GDI
29.3,48.0,7.348341978902616e-05,16Uiu2HAm62ZPxSpt882o1ia4kEM6EjAbRGAZHPse9rkDp5e7qVFD,0.0008778182911213956
29.4,-98.5,0.00012991868618699825,16Uiu2HAmQb6XMwjcbsnmVsJzjtnPBjBkMtBw3rZuKRK8CWHUb2z1,0.0013285455577484169
29.6,-98.7,1.4696683957805232e-05,16Uiu2HAmE7SzWRPYaSLxNQ5pFmELC7LrExFeLfv2EMLTwKdejbA9,0.0013196846399080096
29.6,-95.7,1.4696683957805232e-05,16Uiu2HAmRNCh3JJqXAPWaf7EgdTXwdmWTP244bDVqAcNtWx4BUxC,0.001360030869934523
29.7,-98.1,2.8805500557298257e-05,16Uiu2HAmFUNc6AcWBFZC4bABdFhHXqiJamNBpZNtta79sRpYATTh,0.0013247786386789747
29.7,-95.9,4.173858244016686e-05,16Uiu2HAm7oBULRRFRCYgA8bjXnToy4wRRpW39eApoGtrjDpG7gF8,0.0013529897149372706
29.7,-82.3,1.205128084540029e-05,16Uiu2HAmLcsZXXCQj3RyoFYmwnHbd82HShL3P2zDX5JQy234eWbd,0.0013014529626204216
29.8,-95.5,0.0005793432816166823,16Uiu2HAkwULiwjksGVGGyzVPLmmRfSLDrKCZTbathjr7dsCy9qU9,0.0013535992777546613
29.9,121.5,5.878673583122093e-05,16Uiu2HAmR1reusqJZuMFF6rKWr7C2dtrsuV4KENto7RibVWPwmAP,0.001674078858087681
30.0,-95.7,5.805190163333067e-05,16Uiu2HAmCDtW1iRXxh2nEABahP3eQZD4eYQ81Ra1sCckAv1yVMos,0.0013445148751022838
30.0,-95.4,2.9393367915610465e-05,16Uiu2HAkvfNmpZqebLHi6dfGSkgVGusSxMgrubW3EHuZDzZ6ZjEs,0.0013483497977119655
30.0,-90.1,8.862100426556555e-05,16Uiu2HAmBC3BvJUFNHvXpscWB3V6XN5xjmuZfhTJcKWtrmterEUv,0.0013593495174026864
30.1,-81.4,2.9393367915610465e-05,16Uiu2HAkvAmf6QLsSX6jXGkq2UAXpjz9a51kZpkWa4UtzuQYzma7,0.001290047540794423
30.2,-97.9,0.0009593995287655256,16Uiu2HAkz4BGL1qB6kVNJGU5Sw6RpyeAX6t8N84pd83n7dhSMU5Q,0.001305131808753393
30.2,-92.0,2.9393367915610465e-05,16Uiu2HAmK3JmEFvwhDzRxkHUqHw87NVjTgp3z3DxGE8WaqnrVp4E,0.00134828778247041
30.2,-85.7,1.4696683957805232e-05,16Uiu2HAm2BPz2LMVewAekxtSRNBSBqSwkXAks8CEmtLwpDXfw2Ta,0.0013142946410424476
30.2,53.2,2.9393367915610465e-05,16Uiu2HAmAL388Csojyzvvavzv1L759YJHWArJzeG3sjYhbJEqWfU,0.0009162658579746416
30.3,-95.5,6.084427158531366e-05,16Uiu2HAm8i9tH5qNQQb63pjEmHB6HZHCskv2Xpz159JbkybDoYhJ,0.0013362094667991298
30.3,-81.7,4.40900518734157e-05,16Uiu2HAmMzKLZcZT2GqMjpCj8ZPCSVRjGHiZ5CeL3LW6BM1uQwka,0.0012866126878055253
