10km,15km,20km,25km,30km
5154962.505914675,2872462.565662884,2464615.6716493904,1868732.5663238256,1737177.958078993
2617695.511195801,2395548.679631353,2218022.8069782294,1893166.23110002,1747627.5833891795
3309428.913098573,3279286.9367157705,2298406.963301044,1593096.406111177,1753390.688946518
3336184.9238076843,2643789.4284051377,2223778.552069957,1876636.4360670566,1984559.2889241334
3301548.5981626473,3244087.5391016947,1806442.503705548,3318398.514284374,1748536.308969987
3331383.595153563,2159379.2531626094,2248532.4127582433,1874559.889557007,1471380.7001565273
4978510.110613908,3253057.5075421073,2243873.75474703,1549473.8918548294,1732808.1776462784
3324760.3722691764,2720455.737728624,2343436.762272398,1870910.371013712,1912385.1063241814
2566540.5243666237,3231014.9672676846,2213898.2859427696,1866193.8207651637,1778270.1148018814
3309472.1134603615,3212978.770409181,2487378.5945093636,2092917.828310254,1734430.4464175417
3734754.8871828075,2632747.5045309193,2794131.9082016614,1863793.1524242007,1463124.0017197232
2509758.4260659683,2714776.5403411575,2742695.9513190975,1863296.4652922507,1751541.6670400847
3313969.7855082653,2682973.115287351,2458949.634322774,2140616.484008859,1729555.63503361
3300830.775102069,2127162.6414804817,2781117.8921773937,1863768.9503128307,2272921.487970008
4887322.231647383,4051210.189914857,1803313.3816329716,1869907.5917770988,1567515.9825745428
4779374.340051925,3263362.247411774,2209769.518681102,1880946.7834470705,1458838.82983559
3294709.2274961104,3223146.0804733913,2752180.2600979516,2138889.5006275256,1746162.5824069574
3298561.65264957,2301676.9211775265,2436513.5008520745,1870794.4788757153,1968137.8284249809
4839980.049218587,2967969.8978524734,2199951.115369551,1570105.6422376214,1393302.1983418292
2439828.992829853,2670790.7581910808,1780713.6497256618,1858964.0463683263,1853071.4694462381
3200500.2239325233,3255099.50169753,2205104.5704789595,2062918.2650165744,1966154.6666331307
3201405.12231657,2104733.008224717,2435318.15799747,1908211.4499338553,1734873.4558732305
3322026.32980287,3221368.3469759724,2219331.2281552353,1858831.4648018235,1764147.820995143
2530443.544101595,2130395.6438814728,1781376.7657327305,1561321.6000079697,1746944.6997399377
4809804.876215488,2670818.3212556336,1919177.248338444,1859453.5920486203,1466066.1731097966
3856845.623866311,2928680.7165272557,2245456.2807461843,1883908.174990447,1450001.9627040497
4800440.861814352,2119699.508457573,1700234.2961913818,1852934.9052101888,1723874.2434084849
3849419.7943362147,3193192.9901876077,2208821.43982667,2421858.72889179,1532087.8165253538
4840441.25213126,2658444.3287937823,2683851.6933826846,1661291.2856257467,1722818.3431749404
3867777.557941869,2612379.02566276,2428265.5954236155,1556632.4672147473,1719259.1987695743
