10km,15km,20km,25km,30km
4269008.101973759,2575356.9333524867,2856961.1975283427,2498409.5844074152,3718988.12895534
4261592.698193076,2561173.387616927,4533271.064032027,4136460.3128596465,3839364.5820111665
4266890.223382774,2593757.7015770073,4605542.459865712,2435640.756900419,2197185.841814562
4280254.77600451,2542044.341567249,4695274.201933998,2350603.1944002938,3650982.334756893
3756736.728796841,3200401.645626892,2911147.31006808,1194979.1152452445,3660739.7116416013
4253554.512678057,3090103.3128281473,2421686.6762663755,4078316.835642641,1828083.6252618325
3944828.9241937697,2806086.4712922107,2902885.9317560163,2346905.0015897853,1910496.6583583478
4410279.2495127665,2525212.34295451,2879021.4858245435,2352918.7479106197,2107272.730486747
3713845.039637313,3248503.5984194856,4541603.986037353,3371177.155963984,1749143.3195497806
3935002.4218880017,3170511.7644204837,4627079.893680565,4149275.617023117,2107209.7909588446
4403618.133109057,3230232.908264198,4666604.807973666,1900346.773303811,3621381.3338094987
4307758.80174499,3150475.3315110737,2642677.251187626,2424983.273804796,1342269.1538365965
6292758.970653153,4897862.672262799,4718340.8705052985,2433288.872872969,1847546.2521095644
3672334.8563681957,4972365.808555577,2526893.965145925,2403292.6459718524,1828223.5445313284
3685753.7821731176,5055462.018421224,2788953.282250633,1156968.382390381,2027745.2731372477
6670105.191084445,3211594.441476242,1650668.8848999457,4016398.3474539807,1071860.623078653
3662759.39802894,2617266.6354967263,4475460.297170034,4094508.4034511405,1070907.7415972238
3653541.775412184,3203332.9693434285,4641669.047323139,2409688.691472107,2048783.7485986035
4329798.552387571,3176362.1539568105,4727550.435759442,3947277.4184808414,3597054.073503609
3595229.915877105,4922521.907481146,4635401.425164411,3981182.468108541,1768066.8687458555
3635242.430521743,4993285.721665315,2422909.8370581684,4128500.2292548018,2092996.1069206423
3644021.10343436,5025130.856689625,2325135.5157884033,2051211.772700955,1842213.8010703707
4323157.21249592,2884603.2508642534,2834393.6462074984,2121185.3659394407,2098358.7364184046
