10km,15km,20km,25km,30km
285636.7757813101,312254.59282908536,263109.1351272421,279673.5544510086,231620.9232394801
331212.5179604274,272668.73844793544,320867.8150463985,237619.12591860243,157731.68905835762
285514.77016592433,272542.98667871975,193744.0956682963,167534.19391600115,299893.50828067586
285356.95764142787,238154.75702072377,283722.5190014663,316730.05102403066,237891.75072169583
243139.94607267858,277099.99996736355,248199.19735552778,243449.09592997626,237375.2494384614
293066.40551144315,349750.2145752069,176239.21619882062,242872.14509170144,146956.3372697815
356818.5674937335,211849.31256063085,329197.615505785,147595.87737251024,237348.84351831555
216439.22338146923,300618.174542814,253541.16930182723,242854.83955682433,297380.43257027573
318927.5134074009,259725.34851121565,252997.5041109241,305641.82127907075,151413.7938978469
273045.4234481983,193688.108952844,253283.34421610783,152347.71877967354,280387.5743573667
197858.25673135364,348906.23675091163,153964.35977649302,288474.1530741372,153566.73747053198
369228.06549415225,265476.7391848877,252945.00015813042,154651.89166483088,141329.30338169777
278160.7959812367,265031.26681025594,318123.65952284145,141815.99585062562,139984.5406014433
277623.70776777336,265255.2215903977,159249.39914146435,140324.92952759576,140573.20115961903
277910.598227567,168081.47347526636,300950.2990559425,141062.21476064937,156578.94167295867
169993.43934535616,264981.7087432133,161836.49028912556,157823.2045257771,291460.838691986
277603.0236055433,337600.99419930356,147858.70584015333,299502.43791881396,149387.06982346738
357762.11819507234,174145.84845304335,146444.16127501527,150414.57055156087,141603.4999361891
176563.660435136,319530.28350042645,147610.94430747535,142287.6005426227,137530.76814447253
339108.74358789914,177067.92654778066,147103.58681631868,137927.72774828557,131809.88481751393
179719.26171113705,161505.00441178578,165287.96063900497,131835.31933920775,298769.498853381
163070.09971198117,158805.2329764232,312024.629435619,131435.3996524232,138952.49941547817
159798.2005697744,161267.58089090226,157466.44883270006,306693.47642144724,136081.85679750872
162838.31904171154,160726.6984098992,148709.30510120283,139586.39622386312,140148.0873620688
162273.02449046035,180809.03729358612,143994.876226342,136556.26385912625,128317.7870148088
