uuid,latitude,longitude,stake_weight
16Uiu2HAmKyV9HR3f4PjsufCxSiPK6gQiDMpYJf9atopgSe6o5CFg,55.8,37.6,2
16Uiu2HAkvsiNe111zBWwEYiWVFE5xaGx5uVyBYtD9XU4p2r3xo8F,51.5,-0.1,0.44999999999999996
16Uiu2HAkyZA9H4nQhjBqypYSsgxP7dveUDLisZpCSU28LN8jJp5L,31.2,121.5,1
16Uiu2HAmGdBZMG5YiEEwikcfnPFNKz94Z2eQhuQUJC8buVk8mja3,34.1,-118.3,1
16Uiu2HAmLJagKQeC1DPcK4fyK9g1mDxv1tiW2FPTJAfdym1a5N33,55.9,37.9,1
16Uiu2HAm7Vn7uNCJTGiD4oHnhfU53rczmwe4PyXrHE3fa77qXC8Q,47.5,8.3,1
16Uiu2HAmGZx1UpudCDtW2Kv4K9m4rdgePMyUBGUsggYYNmr6j179,28,-82.4,2
16Uiu2HAmCpvvYDgXv7g9tphHRBPmC2WqkCaiJYewaxuSzRBQSm4z,52.2,-2.2,1
16Uiu2HAm5FiHeiBTZdC6oosqudSb9towZfhp32RP3cNZYuovnUq6,39,-77.5,2
16Uiu2HAmA11LRy4dkaGCg9ZZDbFsL9yD9a4GHAaif1w4BCH62jUL,60.2,24.9,0.76
16Uiu2HAkymxT31qS8s4oDFYviYKVQUM9tn7nxbCLExddSqHKN5XZ,47.4,8.6,0.57
16Uiu2HAkwurDAkKjoaJdMWQXL61Bkbq5mT1DR4BWALXW39vithMT,37.6,127,2
16Uiu2HAmNRsnDwVsgfJkoEMxMxieciMRfVMFkBxdKhT3hhVk1Qn1,45.3,-73.9,6.580000000000001
16Uiu2HAmP2zPEdmoZjALHQtshkXi7iC2YrdWrqgJdfcZzGwuqqRC,39.9,116.4,2
16Uiu2HAm6T6Fw4pZU2VowWgh5zYH3WPijk7okmv6pVc8RpWc59jM,32.7,-97.3,0.71
16Uiu2HAmD6JFTkgr4vAnSD4jAdsYjLQ2QZSVifcQokaxw5suFmDy,49,2.1,0.88
16Uiu2HAmVbDttrq993A1mGKCVtZQua8EYacW67sZieTM27HiMiG1,37.3,-121.9,1
16Uiu2HAm9eJAqgVc3JLyD9qDA9ot5mFNPpA7NsQtF1q7xwqPHPvm,39,-77.5,2
16Uiu2HAm5HP3qb5JYmVTAKq5pbJ6f1kWMJZxUjWZZkgSYbrEqJXs,42.3,-83,0.86
16Uiu2HAmSqNMobyViWXWfmN4MB8RGduBQaAEasRthR3BYKjrsdAB,24.7,46.7,1
16Uiu2HAm67fu81ASLFZ4eN2LGsRRdt381AsKwLT7DJ9hxGt5vpmc,46.1,14.5,1
16Uiu2HAmT15ht4nHpKmW8CYThtm5oaSU3wxGNhT8TFwiq5NbNyBp,50.1,8.7,0.74
